RSRP,RSRQ,Azimuth,Dis_Serving,RS SINR Carrier 1
-90.5,-13.5,73.20114278,1.022918116,0.5
-91.0,-13.5,73.20114278,1.022918116,-0.800000012
-89.90000153,-13.5,73.20114278,1.022918116,-1.0
-90.69999695,-13.60000038,73.20114278,1.022918116,-1.600000024
-90.69999695,-14.10000038,73.20114278,1.022918116,-2.200000048
-87.80000305,-12.0,73.19347197,1.023453187,3.0
-85.40000153,-11.69999981,73.15232464,1.026996483,4.300000191
-85.90000153,-10.69999981,73.09098715,1.031623045,4.0
-85.90000153,-10.69999981,72.95957458,1.034814175,5.099999905
-96.0,-15.89999962,72.8382607,1.037413703,-4.199999809
-98.80000305,-16.89999962,72.74775966,1.039743626,-0.300000012
-93.90000153,-14.89999962,22.50617939,0.315712386,2.0
-95.19999695,-16.79999924,23.01663002,0.319079063,-3.5
-98.5,-18.79999924,23.6233593,0.322455391,-6.099999905
-100.8000031,-19.5,24.10218684,0.324055366,-6.800000191
-104.3000031,-20.70000076,24.32833438,0.324808081,-7.900000095
-104.6999969,-20.20000076,24.49906824,0.324669732,-7.699999809
-102.6999969,-19.70000076,24.97544182,0.325622705,-6.900000095
-103.5999985,-21.0,25.6672,0.329887796,-8.5
-101.1999969,-19.29999924,26.45889684,0.336403794,-6.199999809
-102.5999985,-19.70000076,27.57272087,0.343219755,-6.599999905
-100.0999985,-18.89999962,28.7243839,0.350463751,-4.400000095
-101.5999985,-19.10000038,29.83626735,0.358452951,-6.5
-103.5,-21.20000076,30.95205893,0.366575193,-7.800000191
-101.4000015,-19.60000038,32.07763143,0.374996762,-5.599999905
-103.1999969,-22.5,33.1665606,0.384111215,-7.900000095
-97.80000305,-20.60000038,209.3258153,0.836480386,-2.400000095
-92.80000305,-18.79999924,208.7872322,0.826868402,-2.5
-100.3000031,-21.10000038,208.3191736,0.817907509,-4.699999809
-104.0,-21.29999924,207.9315593,0.810694034,-4.099999905
-97.30000305,-13.30000019,247.7377256,0.967852177,-0.800000012
-97.40000153,-14.80000019,247.6493405,0.963460547,-2.0
-96.40000153,-16.70000076,247.6029941,0.957032443,-4.099999905
-96.80000305,-17.89999962,247.5928988,0.948191886,-4.300000191
-98.80000305,-17.39999962,247.6088028,0.937571008,-5.099999905
-101.3000031,-18.10000038,247.614924,0.926213035,-8.0
-101.8000031,-22.70000076,247.6056449,0.914474264,-10.5
-101.4000015,-21.70000076,247.6451557,0.90222805,-8.399999619
-100.0999985,-20.20000076,247.6932172,0.889286468,-7.099999905
-99.19999695,-20.39999962,247.6487128,0.875965358,-7.199999809
-100.9000015,-21.29999924,247.5723519,0.863071533,-8.199999809
-101.0999985,-21.89999962,247.5055071,0.854589935,-7.699999809
-102.0,-21.60000038,247.4617752,0.848589179,-7.099999905
-98.19999695,-19.70000076,200.8909457,0.719134288,-3.900000095
-98.19999695,-20.5,200.3177798,0.714853133,-3.799999952
-101.0999985,-21.60000038,199.5905346,0.709488178,-5.300000191
-95.59999847,-16.29999924,328.4638404,0.37025069,-3.700000048
-100.0,-19.20000076,330.5912038,0.366787074,-5.599999905
-96.5,-20.89999962,196.8521305,0.685966687,-4.400000095
-98.30000305,-18.39999962,334.4802342,0.363631063,-6.099999905
-98.80000305,-17.79999924,335.4169339,0.364651071,-5.0
-92.0,-13.10000038,336.2866625,0.364797385,3.400000095
-92.80000305,-13.39999962,337.7867025,0.364658097,2.700000048
-87.09999847,-10.39999962,339.6342664,0.364792711,6.599999905
-93.19999695,-13.19999981,341.7262168,0.365630269,1.700000048
-90.69999695,-12.5,344.0452912,0.366657894,3.299999952
-94.09999847,-15.5,346.3380877,0.368408242,-1.0
-97.69999695,-18.10000038,348.1219307,0.370819392,-1.100000024
-93.59999847,-13.5,247.0009113,0.678101343,-1.100000024
-93.40000153,-12.89999962,247.0488008,0.677637377,-0.200000003
-93.30000305,-12.30000019,247.0382966,0.676868252,0.100000001
-95.59999847,-14.0,247.0319557,0.676418006,-0.100000001
-100.5,-16.5,246.8194268,0.672675912,-5.199999809
-99.19999695,-17.20000076,351.3229535,0.372549576,-6.199999809
-104.5,-22.0,352.8581601,0.373573459,-9.199999809
-97.30000305,-15.30000019,246.5160102,0.644288582,-3.099999905
-97.40000153,-15.0,246.4280619,0.63262428,-2.799999952
-97.09999847,-14.89999962,246.4566828,0.620309052,-3.299999952
-96.30000305,-15.5,246.6630678,0.607804285,-2.900000095
-94.80000305,-12.80000019,246.6239626,0.595002361,0.699999988
-92.69999695,-11.89999962,246.6668593,0.58332709,2.099999905
-94.09999847,-13.60000038,246.4488968,0.571657221,1.0
-94.09999847,-13.60000038,246.2092343,0.560328069,0.200000003
-95.40000153,-13.19999981,246.1428264,0.55087643,0.0
-94.80000305,-14.19999981,245.9841174,0.542764886,-0.899999976
-93.80000305,-12.60000038,245.9101278,0.533297483,2.099999905
-92.80000305,-12.30000019,245.8624152,0.522094145,1.0
-89.30000305,-12.0,245.8589554,0.509219447,2.599999905
-87.0,-11.39999962,245.8502764,0.49583156,4.599999905
-86.80000305,-10.69999981,245.7991451,0.483539582,4.800000191
-90.09999847,-13.80000019,245.6128546,0.47236543,-0.300000012
-88.59999847,-13.19999981,245.5130121,0.461587368,0.200000003
-89.69999695,-13.80000019,245.4691552,0.450596577,0.5
-89.80000305,-12.89999962,245.3666351,0.439122511,1.700000048
-93.59999847,-14.5,245.307028,0.426332975,-1.799999952
-93.59999847,-15.0,245.2581642,0.412948988,1.899999976
-89.69999695,-10.69999981,245.3869928,0.401634432,4.300000191
-91.69999695,-12.10000038,245.4050202,0.395461534,1.799999952
-89.0,-11.10000038,245.3560632,0.393858283,6.099999905
-87.80000305,-10.69999981,245.2305016,0.393162554,5.199999809
-88.5,-9.5,245.0704941,0.389524944,6.599999905
-86.90000153,-11.60000038,245.0064389,0.381977529,5.199999809
-87.69999695,-12.0,244.9575973,0.372496646,6.900000095
-87.59999847,-11.89999962,244.7543624,0.36239028,7.599999905
-86.59999847,-9.699999809,244.385621,0.351803663,8.0
-84.59999847,-9.100000381,244.1740448,0.341230611,10.30000019
-89.59999847,-12.30000019,243.7586137,0.330972478,4.699999809
-87.0,-10.39999962,243.1019767,0.321193362,6.900000095
-83.80000305,-11.39999962,242.6833714,0.311275036,5.300000191
-85.0,-13.0,242.2038383,0.299984835,7.599999905
-82.30000305,-12.10000038,241.1808947,0.288339762,11.60000038
-81.0,-9.5,239.3942891,0.244755957,10.5
-81.5,-9.800000191,239.2600924,0.23546412,11.89999962
-82.09999847,-9.5,239.184139,0.227159328,12.39999962
-83.0,-7.5,238.719112,0.218690941,13.80000019
-83.90000153,-8.300000191,238.3069373,0.208793347,13.60000038
-84.30000305,-8.399999619,237.7171706,0.197400742,13.19999981
-85.19999695,-12.39999962,236.3310205,0.172791583,6.900000095
-94.69999695,-18.70000076,233.9455173,0.145221043,9.5
-82.40000153,-9.300000191,232.6184714,0.131621059,12.39999962
-80.5,-9.0,232.1893259,0.118390612,12.19999981
-83.40000153,-11.19999981,230.083495,0.108766541,9.5
-82.0,-9.699999809,227.4300135,0.10156076,10.19999981
-79.40000153,-11.30000019,224.3330197,0.0949823,12.30000019
-81.90000153,-12.89999962,220.3779972,0.087823095,8.800000191
-85.09999847,-13.0,213.7967713,0.080670207,3.200000048
